,trialId,RateOfPheromoneDecay,foodDist,UninformedSearchVariation,RateOfLayingPheromone,RateOfInformedSearchDecay,ProbabilityOfSwitchingToSearching,RateOfSiteFidelity,fitnessScore,fitness,ProbabilityOfReturningToNest
1992,1992.0,10.0,0.0,12.404253277,15.335421398,5.0,0.783737417979,4.84097664508,0.012109375,0.012109375,0.437059596893
173,173.0,10.0,0.0,2.06198666287,7.37650985759,5.0,0.586206646299,1.63574193923,0.0122395833333,0.0122395833333,0.605561352502
903,903.0,10.0,0.0,11.6491736602,0.528114099022,4.99999999998,0.984501745444,2.89446544887,0.0122395833333,0.0122395833333,0.458705518621
1267,1267.0,9.99999951137,0.0,7.54937172214,1.6058686513,4.99999384714,0.81796981286,14.8405648663,0.0127604166667,0.0127604166667,0.459887094389
256,256.0,10.0,0.0,12.3895468743,3.77319716464,4.99999999998,0.806101142839,3.2404642228,0.0127604166667,0.0127604166667,0.449739166373
2527,2527.0,9.98873022491,0.0,8.45745396787,19.6217420711,4.92771949943,0.648888598422,2.53865634639,0.012890625,0.012890625,0.560249236402
1108,1108.0,9.99999999564,0.0,3.94384009101,18.8869143342,4.99999999991,0.662505772813,12.3390451056,0.012890625,0.012890625,0.610283952911
2943,2943.0,9.99461838156,0.0,5.90108325796,8.1121565565,5.0,0.60067706682,8.18729752031,0.0130208333333,0.0130208333333,0.470612019108
898,898.0,9.45582476074,0.0,2.26409228476,19.5051577323,5.0,0.996778521803,19.7733164452,0.01328125,0.01328125,0.536004056497
253,253.0,9.65650781829,0.0,2.33467637222,3.72693728841,3.77760717276,0.000413222452532,19.7810890689,0.01328125,0.01328125,0.192109451579
281,281.0,9.99327199862,0.0,12.0412582755,0.391128929924,4.03990659002,0.876047783137,17.1359452057,0.01328125,0.01328125,0.394801582654
347,347.0,10.0,0.0,11.9778481728,0.122911090144,5.0,0.875963028005,16.8655853972,0.0135416666667,0.0135416666667,0.410344900483
330,330.0,10.0,0.0,0.377975198502,2.27790441114,4.99977848388,0.820495592527,0.417298347217,0.0135416666667,0.0135416666667,0.455419799013
941,941.0,10.0,0.0,0.0791238449034,10.7514823408,4.77891922532,0.49082495522,19.4009684364,0.0135416666667,0.0135416666667,0.824088769388
614,614.0,2.2388718128,0.0,10.3505324782,16.9704105392,4.0567480903,0.998056581094,1.70103171764,0.0135416666667,0.0135416666667,0.393117374658
825,825.0,9.99999177778,0.0,12.1294148824,14.1148624214,3.82827754199,0.967784641563,1.06732616999,0.013671875,0.013671875,0.360461056537
2986,2986.0,9.99999999822,0.0,9.68173806402,1.85426431309,4.9990073134,0.519306052426,2.1334527952,0.0140625,0.0140625,0.468130772923
356,356.0,10.0,0.0,1.48545735628,1.11882701265,5.0,0.529228885273,19.1937737425,0.014453125,0.014453125,0.673959084242
604,604.0,9.58354538347,0.0,2.00449924281,18.9654517659,5.0,0.000847877454052,18.2093225293,0.0147135416667,0.0147135416667,0.897295118496
867,867.0,6.2122328516,0.0,0.24132420848,0.20491549682,3.54104314406,0.8505276144,14.206705505,0.0147135416667,0.0147135416667,0.482607333498
778,778.0,7.02122695021,0.0,7.75975464836,19.6547191023,4.99969357237,0.933021328333,19.2334342284,0.0149739583333,0.0149739583333,0.422036464244
2496,2496.0,9.99999999997,0.0,7.70192596299,19.3370086179,5.0,0.527093066843,10.2717465108,0.015234375,0.015234375,0.532708887275
649,649.0,10.0,0.0,12.0319469653,3.64568212784,5.0,0.445380910776,0.946892319413,0.0153645833333,0.0153645833333,0.62318536059
436,436.0,9.68441634345,0.0,0.163455068352,14.0623346699,5.0,0.955529524977,19.5036828857,0.0153645833333,0.0153645833333,0.427534832128
1501,1501.0,9.9999445608,0.0,0.833853796011,10.3251911168,4.9999996365,0.812800924654,7.7969937509,0.0153645833333,0.0153645833333,0.445254075393
769,769.0,8.40292573442,0.0,0.86137549023,17.3776250338,5.0,0.924312659174,0.68506601661,0.0153645833333,0.0153645833333,0.467197982016
74,74.0,10.0,0.0,11.547492646,6.48417044032,4.91415649943,0.386849519309,2.80413424148,0.016015625,0.016015625,0.811920202011
2715,2715.0,10.0,0.0,9.13932542825,17.8573850054,4.99999999868,0.607747980273,10.7975576242,0.0161458333333,0.0161458333333,0.389339028009
570,570.0,7.51053282225,0.0,0.910713715949,1.77711540452,5.0,0.000785224777399,16.2271363271,0.0165364583333,0.0165364583333,0.348398256129
602,602.0,8.20911042351,0.0,1.56846864891,0.194618303857,4.99999999999,0.884899496037,1.42512036597,0.016796875,0.016796875,0.442706623701
743,743.0,9.97807249806,0.0,1.42629467995,17.3255988258,5.0,0.940720703132,10.9927111022,0.0170572916667,0.0170572916667,0.442821092053
853,853.0,4.96243375361,0.0,9.84350885213,0.674731207848,1.02887655708,0.988825990226,4.47966686107,0.0171875,0.0171875,0.346172326418
249,249.0,10.0,0.0,0.704478423118,18.3516625086,5.0,0.88005055303,7.20364477156,0.0174479166667,0.0174479166667,0.433153876153
2272,2272.0,10.0,0.0,1.68589429534,7.39653151568,5.0,0.989400122621,18.6385190452,0.0180989583333,0.0180989583333,0.429464587473
91,91.0,3.89021886562,0.0,12.0228977217,3.18327287226,3.69617602337,0.404349344353,16.181426397,0.0184895833333,0.0184895833333,0.471221730688
1702,1702.0,9.99999999906,0.0,8.12459919158,18.0320468521,4.99440737421,0.584633580536,18.5760519435,0.0186197916667,0.0186197916667,0.313845475095
226,226.0,10.0,0.0,12.5612487579,16.6447972385,3.05964624044,0.882475532206,19.3521273713,0.0188802083333,0.0188802083333,0.307558925447
870,870.0,10.0,0.0,12.2742701209,0.424899175134,0.370353032035,0.3974847117,18.9056819151,0.019140625,0.019140625,0.718723322666
92,92.0,10.0,0.0,0.00434824286674,18.9952967819,4.9992892222,0.393388717949,0.440350329729,0.0197916666667,0.0197916666667,0.980935369244
179,179.0,10.0,0.0,0.203826327478,17.4788411884,4.50563068237,0.982115429633,19.6680088937,0.019921875,0.019921875,0.36939200655
1772,1772.0,9.99995244885,0.0,6.70589876624,10.2045756664,4.99999960575,0.766009705194,1.73914887295,0.0205729166667,0.0205729166667,0.350946004294
722,722.0,10.0,0.0,0.384749089779,0.117172652065,4.90604029295,0.491718679011,18.5762039255,0.0209635416667,0.0209635416667,0.482640275339
628,628.0,9.70390497909,0.0,0.0606914787366,0.47730118102,5.0,0.978116834284,1.23819321546,0.0212239583333,0.0212239583333,0.352446982394
302,302.0,3.73488582266,0.0,9.85527390159,1.88001688451,3.02991789643,0.605933620337,0.741421898226,0.0213541666667,0.0213541666667,0.301922417924
799,799.0,10.0,0.0,11.2330508921,1.55869348692,1.59335587446,0.428127204003,2.76447833171,0.0213541666667,0.0213541666667,0.372941808484
254,254.0,10.0,0.0,12.0396991718,0.794558902026,1.54422160095,0.89379710265,1.36184845841,0.021484375,0.021484375,0.240847444
832,832.0,9.43438513344,0.0,0.369133100269,19.9456527263,4.36190518126,0.974422322326,19.4285899644,0.021484375,0.021484375,0.388708028753
80,80.0,10.0,0.0,0.137386094048,19.4424590027,4.99973907837,0.346687464323,0.171090847697,0.0221354166667,0.0221354166667,0.950491401597
2200,2200.0,9.99999999999,0.0,7.37814485086,10.321216371,4.99999902623,0.695131539575,13.4873743109,0.0231770833333,0.0231770833333,0.292045211782
2259,2259.0,9.99999999989,0.0,11.201030926,16.182365332,4.99920345642,0.760007866735,7.59375556988,0.0231770833333,0.0231770833333,0.247797407907
479,479.0,9.9999962416,0.0,11.3043578195,19.8233800222,5.0,0.939362533852,16.8323307944,0.0233072916667,0.0233072916667,0.239777101236
827,827.0,10.0,0.0,2.29824228394,2.28537795642,5.0,0.947442025395,19.9713686251,0.023828125,0.023828125,0.333511500536
147,147.0,10.0,0.0,2.22043089984,18.1853865242,5.0,0.815015003487,0.160210175578,0.0244791666667,0.0244791666667,0.333505390014
1120,1120.0,9.99844752926,0.0,5.55922735803,10.7794711492,4.99997633584,0.456401052125,19.2212705536,0.025390625,0.025390625,0.333507004908
754,754.0,10.0,0.0,0.00929752876469,3.70687416093,4.99999954587,0.878099600535,19.8247799053,0.0260416666667,0.0260416666667,0.292368223855
1886,1886.0,9.99988470117,0.0,12.017549958,9.79125916905,4.92300757178,0.500714651568,6.12318739845,0.026171875,0.026171875,0.221693930836
2615,2615.0,9.94238529389,0.0,9.01380838514,4.63749661298,4.99999999948,0.40654494455,5.96667010391,0.0263020833333,0.0263020833333,0.271567734576
2109,2109.0,9.99999991222,0.0,2.85378103085,19.0302910369,4.99999979911,0.31692723236,6.60514496623,0.0265625,0.0265625,0.443828868096
1056,1056.0,10.0,0.0,7.08883668127,8.27809586073,5.0,0.302548612467,0.225825537331,0.0266927083333,0.0266927083333,0.526992934884
852,852.0,10.0,0.0,0.53315244022,15.6072672167,4.45064843131,0.805523049942,1.05495644471,0.0272135416667,0.0272135416667,0.299244629124
485,485.0,6.51066411348,0.0,8.35797464672,0.226085647268,4.99998612716,0.00047579915815,19.3594396351,0.027734375,0.027734375,0.0763454050188
958,958.0,9.5573297964,0.0,4.23881158169,4.09812096517,4.99876136767,0.709122920795,10.1527538925,0.0279947916667,0.0279947916667,0.293496398447
464,464.0,9.9998257361,0.0,0.191471526833,1.71355601039,5.0,0.986252899656,19.9839777429,0.0283854166667,0.0283854166667,0.285907386473
361,361.0,9.49732403811,0.0,0.462420592507,13.7568106839,0.746022766503,0.847853853364,0.204219916127,0.0283854166667,0.0283854166667,0.286324232478
2469,2469.0,9.23266279477,0.0,5.6408505359,3.24688308893,4.99981827199,0.702448128827,1.77501854921,0.028515625,0.028515625,0.265381476744
1002,1002.0,7.71199917631,0.0,11.8923477694,17.9192543969,5.0,0.886243504335,17.6430166277,0.0291666666667,0.0291666666667,0.214936178455
910,910.0,10.0,0.0,11.2126516661,19.9005092182,5.0,0.952726290228,12.9518670872,0.0294270833333,0.0294270833333,0.230115838136
985,985.0,9.44865218278,0.0,1.88903335118,0.551447487614,5.0,0.570549572904,19.2528879108,0.0294270833333,0.0294270833333,0.328085104941
864,864.0,10.0,0.0,11.8933201055,4.4141160448,5.0,0.843693377591,0.271802556394,0.030078125,0.030078125,0.196828572832
488,488.0,9.35551542727,0.0,0.884781220584,6.92870836745,5.0,0.000212811218716,19.9665896378,0.030078125,0.030078125,8.70606918016e-14
854,854.0,9.99999999996,0.0,11.8195895395,19.3674216011,1.55375665379,0.907177050651,17.9883954574,0.0302083333333,0.0302083333333,0.195567387873
1647,1647.0,10.0,0.0,0.773489094354,15.931335691,5.0,0.963409146062,0.657482990204,0.0309895833333,0.0309895833333,0.282032798218
977,977.0,9.99999999997,0.0,0.506132651269,0.0249001505498,5.0,0.748306332808,1.0654343114,0.03203125,0.03203125,0.282953961058
1035,1035.0,1.87231471386,0.0,0.45330494542,17.2748016314,5.0,0.326674491398,0.846625023132,0.0321614583333,0.0321614583333,0.378766571124
981,981.0,9.99999997271,0.0,0.153874721298,1.60703929956,1.15628661013,0.00172822241731,18.4565821223,0.0326822916667,0.0326822916667,0.45838231166
93,93.0,0.468307772282,0.0,11.9414988803,19.242725499,4.74133659096,0.250197049918,19.7308036808,0.0328125,0.0328125,0.818708552875
751,751.0,9.03521935695,0.0,12.4531915843,1.45274292747,3.55388231972,0.903150389917,5.48966752393,0.0328125,0.0328125,0.181197406847
416,416.0,10.0,0.0,7.39970159343,0.522888973901,4.12641373547,0.00217779421251,19.5719106739,0.0329427083333,0.0329427083333,0.85149750764
1379,1379.0,9.99999999999,0.0,0.808728851399,13.779783701,4.98638238015,0.975581864994,2.59376667556,0.0342447916667,0.0342447916667,0.271176659018
709,709.0,9.65973376726,0.0,0.450075112164,16.0287844764,4.99999015669,0.871042446738,4.1121794459,0.034765625,0.034765625,0.265176515376
524,524.0,9.99999989344,0.0,2.27593129686,0.13052540937,2.34022265458,0.00141506008914,18.3163046142,0.03515625,0.03515625,0.30671008611
2118,2118.0,3.55121580582,0.0,0.827569342788,17.1475743861,5.0,0.343617981564,1.01887389795,0.0359375,0.0359375,0.314543929009
1416,1416.0,9.84932815769,0.0,1.75498630222,5.61525946712,4.99996538961,0.585167331211,12.6668873597,0.037109375,0.037109375,0.27279236875
241,241.0,10.0,0.0,1.64259188081,0.169203601857,3.28406200071,0.260659070125,18.6824762363,0.0376302083333,0.0376302083333,0.674385975919
2115,2115.0,9.83247710415,0.0,2.69149487672,18.3982103202,4.96992604037,0.448329301221,11.2201872861,0.0376302083333,0.0376302083333,0.243675009658
267,267.0,7.18211416856,0.0,12.2085260964,19.9590623052,4.99972902763,0.00205484227242,18.4040505581,0.037890625,0.037890625,0.489921273957
340,340.0,0.341932548409,0.0,10.7056310096,2.83176344581,4.30249422823,0.259480326126,17.4387384604,0.0384114583333,0.0384114583333,0.425389368257
134,134.0,10.0,0.0,12.2259383063,15.4035440543,1.18543477172,0.997608564692,0.532787756419,0.0385416666667,0.0385416666667,0.164106614347
847,847.0,4.64798104313,0.0,1.35232165069,0.0662198376202,4.99999999994,0.315136532962,1.84555151294,0.0385416666667,0.0385416666667,0.297742692172
518,518.0,10.0,0.0,12.5052512656,18.7301345576,5.0,0.248123295492,10.1970610149,0.039453125,0.039453125,0.354031032488
671,671.0,10.0,0.0,0.468898751708,0.736256638089,3.77747411074,0.260260342992,19.1942247458,0.040625,0.040625,0.361398985908
