,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfLayingPheromone,fitnessScore,fitness,RateOfPheromoneDecay,UninformedSearchVariation,ProbabilityOfSwitchingToSearching
349,349.0,1.0,4.85762529241e-12,4.2466754348,0.0426712514878,0.0441146142373,0.561458333333,0.561458333333,10.0,11.8085021374,0.137333375501
20,20.0,1.0,1.0272746318e-12,4.99999729951,0.470924377441,6.03425979614,0.561458333333,0.561458333333,9.99999947681,11.1945583126,0.159138202667
2877,2877.0,1.0,1.02478829596e-12,4.98694500612,0.768983123011,16.7834216669,0.561588541667,0.561588541667,9.8564922824,11.1843960104,0.841772730901
2853,2853.0,1.0,4.14976032015e-09,4.9999999344,0.707187622219,17.0164042558,0.561588541667,0.561588541667,8.72466446302,11.7361054698,0.531891750977
2392,2392.0,1.0,3.16572712397e-11,4.99999999994,11.5633723997,2.63590501219,0.561588541667,0.561588541667,10.0,4.8664076169,0.284986702235
2151,2151.0,1.0,1.84172469511e-08,4.99999902754,2.10133305604,0.233971473027,0.561848958333,0.561848958333,2.2950578296,2.74814466789,0.244207617713
455,455.0,1.0,1.08882938881e-13,5.0,1.13180107299,19.4573260435,0.561848958333,0.561848958333,7.60049794029,1.92196761452,0.0841387083942
582,582.0,1.0,1.44084099379e-13,5.0,0.121398994648,0.8350210065,0.561979166667,0.561979166667,10.0,2.51670904402,0.0502927816475
589,589.0,1.0,6.1997911043e-14,4.9375884516,0.933017966546,18.3060499731,0.562109375,0.562109375,10.0,1.3800941731,0.912444194981
1585,1585.0,1.0,1.87258759751e-14,4.99999963656,0.155105091737,13.2877650369,0.562109375,0.562109375,9.96713830224,12.0270626667,0.260946921239
825,825.0,1.0,1.23433149197e-14,5.0,9.11824378521,0.897116914462,0.562109375,0.562109375,10.0,12.5188315742,0.811396687499
