,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
1521,1521,2,1.50E-09,5,13.93045865,12.2553351,9.999984611,6.331750911,0.646744792,0.646744792,0.960521308
850,850,2,0.005594266,4.389420525,18.59545257,0.34135444,9.999999548,0.092126906,0.646744792,0.646744792,0.962296162
611,611,2,3.36E-14,5,15.02525138,19.04768418,4.117380475,2.305607587,0.647005208,0.647005208,0.79845525
1070,1070,2,6.43E-14,5,10.1191407,9.81975079,9.999999733,1.815696383,0.647135417,0.647135417,0.046785391
1706,1706,2,1.39E-07,4.999999995,17.76320789,8.092748038,9.998849463,4.627159636,0.647265625,0.647265625,0.533590347
851,851,2,4.53E-09,4.999999583,15.09896706,17.50723623,9.999992332,1.383794496,0.647265625,0.647265625,0.442279638
82,82,2,4.30E-09,4.999999859,17.45398725,7.797867407,6.766665557,1.350559114,0.647395833,0.647395833,0.043750764
1242,1242,2,1.48E-10,4.998977983,17.56893706,10.12872082,9.999913859,4.880095746,0.647526042,0.647526042,0.456263497
806,806,2,9.19E-14,5,19.65927015,19.79537926,6.650429139,1.566000004,0.64765625,0.64765625,0.998895635
99,99,2,4.64E-14,4.61039782,19.51864939,15.75854911,10,0.517392326,0.647786458,0.647786458,0.889673431
768,768,2,1.84E-13,5,18.6626277,19.61003276,10,1.12235333,0.647786458,0.647786458,0.88824752
2529,2529,2,4.31E-07,4.999951639,14.04426932,16.82665898,9.999928938,3.870914973,0.647786458,0.647786458,0.494238491
685,685,2,2.28E-14,5,15.55771719,2.769660234,3.059018473,12.31621347,0.647916667,0.647916667,0.09737989
790,790,2,0.008138313,5,2.058550924,18.83741022,9.479196208,0.875457784,0.648046875,0.648046875,0.687975073
365,365,2,6.07E-12,4.999880874,11.51385369,9.482302543,9.998156255,4.405337382,0.648046875,0.648046875,0.401249047
1788,1788,2,7.41E-06,4.139693422,8.63129356,14.82940809,10,3.823035918,0.648046875,0.648046875,0.855877092
346,346,2,7.64E-14,1.774382894,18.69911393,18.16794056,10,0.230394073,0.648046875,0.648046875,0.705908042
2047,2047,2,3.37E-10,4.999990247,18.50686028,13.33888497,9.965666399,4.588715842,0.648307292,0.648307292,0.889400224
2941,2941,2,2.71E-12,4.839931923,7.600908054,6.6759473,9.999999999,8.568679602,0.6484375,0.6484375,0.983103157
